ED,AD,borough,neighborhood,ev25_total,ev_rate,ev_weight,ev_party_dem,ev_party_rep,ev_party_oth
10,44,BK,Prospect Heights,170,0.2,0.00023216336653269476,0.9117647058823529,0.0,0.0
26,24,QN,Richmond Hill,106,0.1,0.00014476068736744496,0.7169811320754716,0.10377358490566038,0.018867924528301886
13,43,BK,Crown Heights,186,0.13,0.00025401403632400717,0.8870967741935484,0.026881720430107527,0.016129032258064516
4,74,MN,Kips Bay,292,0.18,0.00039877472369145216,0.6198630136986302,0.15753424657534246,0.010273972602739725
64,61,MN,Battery Park City,212,0.18,0.0002895213747348899,0.6462264150943396,0.12264150943396226,0.0330188679245283
9,41,BK,Flatlands,183,0.12,0.00024991703573813614,0.8961748633879781,0.03825136612021858,0.00546448087431694
62,76,MN,Roosevelt Island,505,0.28,0.0006896617652882991,0.7445544554455445,0.05148514851485148,0.02178217821782178
30,52,BK,Downtown Brooklyn,362,0.26,0.0004943714040284441,0.8093922651933702,0.022099447513812154,0.0055248618784530384
15,31,QN,Arverne,204,0.11,0.0002785960398392337,0.8578431372549019,0.0392156862745098,0.004901960784313725
50,67,MN,Upper West Side,104,0.07,0.00014202935364353091,0.8269230769230769,0.038461538461538464,0.0
47,33,QN,St. Albans,121,0.08,0.0001652456902968004,0.8842975206611571,0.024793388429752067,0.0
23,46,BK,Dyker Heights,282,0.22,0.0003851180550718819,0.425531914893617,0.36524822695035464,0.01773049645390071
40,77,BX,Concourse,69,0.06,9.423101347503493e-05,0.8260869565217391,0.057971014492753624,0.0
45,77,BX,Mount Eden,23,0.05,3.1410337825011643e-05,0.782608695652174,0.043478260869565216,0.08695652173913043
26,31,QN,Brookville,92,0.06,0.00012564135130004657,0.8478260869565217,0.0,0.0
10,81,BX,Kingsbridge,244,0.17,0.0003332227143175148,0.75,0.04918032786885246,0.036885245901639344
4,63,SI,Rosebank,135,0.08,0.00018436502636419878,0.4888888888888889,0.2962962962962963,0.007407407407407408
34,35,QN,Corona,196,0.14,0.0002676707049435775,0.7959183673469388,0.05102040816326531,0.015306122448979591
34,81,BX,North Riverdale,419,0.34,0.0005722144151599947,0.8233890214797136,0.07159904534606205,0.007159904534606206
11,63,SI,Silver Lake,159,0.13,0.00021714103105116743,0.46540880503144655,0.3270440251572327,0.03773584905660377
22,77,BX,Mount Hope,11,0.01,1.5022335481527306e-05,0.7272727272727273,0.09090909090909091,0.09090909090909091
5,63,SI,Park Hill,173,0.11,0.00023626036711856584,0.6069364161849711,0.2254335260115607,0.017341040462427744
30,28,QN,Forest Hills,261,0.14,0.0003564390509707843,0.685823754789272,0.15708812260536398,0.007662835249042145
41,50,BK,Williamsburg,64,0.04,8.740267916524978e-05,0.953125,0.03125,0.0
9,71,MN,Washington Heights,329,0.2,0.0004493043975838622,0.9057750759878419,0.015197568389057751,0.0060790273556231
35,87,BX,West Farms,33,0.02,4.506700644458192e-05,0.8181818181818182,0.030303030303030304,0.0
19,62,SI,Annadale,507,0.27,0.0006923930990122132,0.22682445759368836,0.5443786982248521,0.021696252465483234
23,58,BK,East Flatbush,86,0.08,0.0001174473501283044,0.872093023255814,0.05813953488372093,0.011627906976744186
22,45,BK,Gravesend,128,0.11,0.00017480535833049957,0.4765625,0.375,0.0
20,83,BX,Williamsbridge,130,0.08,0.00017753669205441364,0.9461538461538461,0.015384615384615385,0.0
51,60,BK,East New York,63,0.04,8.603701230329276e-05,0.9365079365079365,0.0,0.031746031746031744
39,43,BK,Prospect Lefferts Gardens,209,0.18,0.00028542437414901884,0.8995215311004785,0.014354066985645933,0.014354066985645933
46,79,BX,Melrose,102,0.06,0.00013929801991961684,0.9117647058823529,0.0196078431372549,0.00980392156862745
42,81,BX,Woodlawn,50,0.04,6.82833430978514e-05,0.68,0.16,0.06
2,86,BX,Morris Heights,39,0.03,5.3261007616324086e-05,0.8974358974358975,0.0,0.0
9,67,MN,Upper West Side,388,0.3,0.0005298787424393268,0.8814432989690721,0.03350515463917526,0.0
63,65,MN,Lower East Side,63,0.06,8.603701230329276e-05,0.7936507936507936,0.09523809523809523,0.015873015873015872
