AD,ED,borough,pri_total_valid,pri_mam_share,pri_cuo_share
41,1,BK,295.0,0.25084745762711863,0.7491525423728813
41,2,BK,246.0,0.3821138211382114,0.6178861788617886
41,3,BK,180.0,0.24444444444444444,0.7555555555555555
41,4,BK,403.0,0.4292803970223325,0.5707196029776676
41,5,BK,210.0,0.47619047619047616,0.5238095238095238
41,6,BK,248.0,0.46774193548387094,0.532258064516129
41,7,BK,275.0,0.3890909090909091,0.6109090909090908
41,8,BK,234.0,0.3888888888888889,0.6111111111111112
41,9,BK,292.0,0.2842465753424658,0.7157534246575342
41,10,BK,212.0,0.32547169811320753,0.6745283018867925
41,11,BK,334.0,0.3413173652694611,0.6586826347305389
41,12,BK,193.0,0.2538860103626943,0.7461139896373057
41,13,BK,161.0,0.36645962732919257,0.6335403726708074
41,14,BK,392.0,0.06377551020408163,0.9362244897959183
41,15,BK,118.0,0.211864406779661,0.788135593220339
41,16,BK,143.0,0.32167832167832167,0.6783216783216783
41,17,BK,215.0,0.48372093023255813,0.5162790697674419
41,18,BK,213.0,0.30985915492957744,0.6901408450704225
41,19,BK,237.0,0.39662447257383965,0.6033755274261603
41,20,BK,268.0,0.11194029850746269,0.8880597014925373
41,21,BK,151.0,0.33774834437086093,0.6622516556291391
41,22,BK,142.0,0.4154929577464789,0.5845070422535211
41,23,BK,295.0,0.15932203389830507,0.840677966101695
41,24,BK,243.0,0.30864197530864196,0.691358024691358
41,25,BK,269.0,0.3159851301115242,0.6840148698884758
41,26,BK,256.0,0.37890625,0.62109375
41,27,BK,235.0,0.4085106382978723,0.5914893617021277
41,28,BK,184.0,0.20652173913043478,0.7934782608695652
41,29,BK,241.0,0.08713692946058091,0.9128630705394191
41,30,BK,277.0,0.07220216606498195,0.927797833935018
41,31,BK,125.0,0.136,0.864
41,32,BK,272.0,0.2647058823529412,0.7352941176470589
41,33,BK,345.0,0.1565217391304348,0.8434782608695652
41,34,BK,309.0,0.2977346278317152,0.7022653721682848
41,35,BK,305.0,0.15737704918032788,0.8426229508196721
41,36,BK,142.0,0.176056338028169,0.823943661971831
41,37,BK,106.0,0.37735849056603776,0.6226415094339622
41,38,BK,50.0,0.52,0.48
41,39,BK,71.0,0.23943661971830985,0.7605633802816901
41,40,BK,187.0,0.3155080213903743,0.6844919786096257
41,41,BK,268.0,0.12313432835820895,0.8768656716417911
41,42,BK,152.0,0.4276315789473684,0.5723684210526316
41,43,BK,145.0,0.4068965517241379,0.5931034482758621
41,44,BK,127.0,0.4881889763779528,0.5118110236220472
41,45,BK,167.0,0.32934131736526945,0.6706586826347305
41,46,BK,87.0,0.4367816091954023,0.5632183908045977
41,47,BK,137.0,0.5328467153284672,0.46715328467153283
41,48,BK,178.0,0.4044943820224719,0.5955056179775281
41,49,BK,139.0,0.2302158273381295,0.7697841726618705
41,50,BK,115.0,0.3565217391304348,0.6434782608695653
41,51,BK,83.0,0.3614457831325301,0.6385542168674698
41,52,BK,234.0,0.3504273504273504,0.6495726495726496
41,53,BK,75.0,0.5733333333333334,0.42666666666666664
41,54,BK,205.0,0.11219512195121951,0.8878048780487805
41,55,BK,134.0,0.40298507462686567,0.5970149253731343
41,56,BK,162.0,0.5370370370370371,0.4629629629629629
41,57,BK,108.0,0.49074074074074076,0.5092592592592593
41,58,BK,167.0,0.38323353293413176,0.6167664670658682
41,59,BK,48.0,0.3125,0.6875
41,60,BK,80.0,0.2375,0.7625
41,61,BK,145.0,0.3586206896551724,0.6413793103448275
41,62,BK,110.0,0.11818181818181818,0.8818181818181818
41,63,BK,115.0,0.4434782608695652,0.5565217391304348
41,64,BK,155.0,0.432258064516129,0.567741935483871
41,65,BK,79.0,0.379746835443038,0.620253164556962
41,66,BK,68.0,0.3382352941176471,0.6617647058823529
41,67,BK,83.0,0.46987951807228917,0.5301204819277108
41,68,BK,42.0,0.3333333333333333,0.6666666666666667
41,69,BK,46.0,0.2391304347826087,0.7608695652173914
41,70,BK,0.0,0.0,0.0
41,71,BK,0.0,0.0,0.0
42,1,BK,30.0,0.9,0.09999999999999998
42,2,BK,359.0,0.7075208913649025,0.2924791086350975
42,3,BK,534.0,0.8033707865168539,0.1966292134831461
42,4,BK,452.0,0.7743362831858407,0.2256637168141593
42,5,BK,415.0,0.7325301204819277,0.26746987951807233
42,6,BK,509.0,0.75049115913556,0.24950884086444003
42,7,BK,476.0,0.7037815126050421,0.29621848739495793
42,8,BK,218.0,0.6009174311926605,0.3990825688073395
42,9,BK,359.0,0.6211699164345403,0.37883008356545966
42,10,BK,373.0,0.42359249329758714,0.5764075067024128
42,11,BK,449.0,0.7082405345211581,0.2917594654788419
42,12,BK,410.0,0.6146341463414634,0.3853658536585366
42,13,BK,459.0,0.6470588235294118,0.3529411764705882
42,14,BK,346.0,0.6127167630057804,0.3872832369942196
42,15,BK,395.0,0.5974683544303797,0.4025316455696203
42,16,BK,310.0,0.5903225806451613,0.4096774193548387
42,17,BK,301.0,0.5614617940199336,0.43853820598006643
42,18,BK,264.0,0.6098484848484849,0.39015151515151514
42,19,BK,437.0,0.7276887871853547,0.2723112128146453
42,20,BK,368.0,0.6059782608695652,0.3940217391304348
42,21,BK,368.0,0.6222826086956522,0.3777173913043478
42,22,BK,463.0,0.7624190064794817,0.2375809935205183
42,23,BK,412.0,0.5606796116504854,0.4393203883495146
42,24,BK,368.0,0.6277173913043478,0.3722826086956522
42,25,BK,348.0,0.5948275862068966,0.4051724137931034
42,26,BK,460.0,0.7021739130434783,0.2978260869565217
42,27,BK,128.0,0.6953125,0.3046875
42,28,BK,506.0,0.7075098814229249,0.2924901185770751
42,29,BK,330.0,0.6060606060606061,0.3939393939393939
42,30,BK,231.0,0.5670995670995671,0.4329004329004329
42,31,BK,215.0,0.4372093023255814,0.5627906976744186
42,32,BK,267.0,0.4756554307116105,0.5243445692883895
42,33,BK,255.0,0.4549019607843137,0.5450980392156863
42,34,BK,172.0,0.45930232558139533,0.5406976744186047
42,35,BK,231.0,0.4155844155844156,0.5844155844155844
42,36,BK,309.0,0.5436893203883495,0.4563106796116505
42,37,BK,307.0,0.43973941368078173,0.5602605863192183
42,38,BK,309.0,0.44983818770226536,0.5501618122977346
42,39,BK,279.0,0.3835125448028674,0.6164874551971327
42,40,BK,228.0,0.34649122807017546,0.6535087719298245
42,41,BK,444.0,0.5698198198198198,0.4301801801801802
42,42,BK,301.0,0.7043189368770764,0.29568106312292364
42,43,BK,322.0,0.4658385093167702,0.5341614906832298
42,44,BK,182.0,0.4230769230769231,0.5769230769230769
42,45,BK,259.0,0.6486486486486487,0.3513513513513513
42,46,BK,227.0,0.5330396475770925,0.46696035242290745
42,47,BK,331.0,0.48036253776435045,0.5196374622356495
42,48,BK,313.0,0.8083067092651757,0.19169329073482433
42,49,BK,462.0,0.5995670995670995,0.4004329004329005
42,50,BK,321.0,0.4672897196261682,0.5327102803738317
42,51,BK,205.0,0.4292682926829268,0.5707317073170732
42,52,BK,332.0,0.1355421686746988,0.8644578313253012
42,53,BK,375.0,0.28,0.72
42,54,BK,480.0,0.010416666666666666,0.9895833333333334
42,55,BK,279.0,0.23297491039426524,0.7670250896057348
42,56,BK,268.0,0.30223880597014924,0.6977611940298507
42,57,BK,452.0,0.028761061946902654,0.9712389380530974
42,58,BK,452.0,0.07079646017699115,0.9292035398230089
42,59,BK,0.0,0.0,0.0
43,1,BK,532.0,0.8759398496240601,0.12406015037593987
43,2,BK,490.0,0.8020408163265306,0.19795918367346943
43,3,BK,491.0,0.8391038696537678,0.16089613034623218
43,4,BK,439.0,0.6309794988610479,0.36902050113895213
43,5,BK,355.0,0.8366197183098592,0.16338028169014085
43,6,BK,342.0,0.6783625730994152,0.32163742690058483
43,7,BK,284.0,0.5140845070422535,0.4859154929577465
43,8,BK,355.0,0.780281690140845,0.21971830985915497
43,9,BK,192.0,0.5885416666666666,0.41145833333333337
43,10,BK,613.0,0.8923327895595432,0.1076672104404568
43,11,BK,429.0,0.8205128205128205,0.17948717948717952
43,12,BK,340.0,0.6852941176470588,0.31470588235294117
43,13,BK,421.0,0.4323040380047506,0.5676959619952494
43,14,BK,285.0,0.6842105263157895,0.3157894736842105
43,15,BK,304.0,0.4605263157894737,0.5394736842105263
43,16,BK,296.0,0.6182432432432432,0.3817567567567568
43,17,BK,256.0,0.56640625,0.43359375
43,18,BK,460.0,0.7152173913043478,0.2847826086956522
43,19,BK,461.0,0.559652928416486,0.44034707158351405
43,20,BK,440.0,0.32272727272727275,0.6772727272727272
43,21,BK,303.0,0.1419141914191419,0.858085808580858
43,22,BK,387.0,0.23255813953488372,0.7674418604651163
43,23,BK,303.0,0.45544554455445546,0.5445544554455446
43,24,BK,233.0,0.3090128755364807,0.6909871244635193
43,25,BK,235.0,0.2680851063829787,0.7319148936170212
43,26,BK,224.0,0.08035714285714286,0.9196428571428571
43,27,BK,391.0,0.2966751918158568,0.7033248081841432
43,28,BK,258.0,0.10465116279069768,0.8953488372093024
43,29,BK,420.0,0.5119047619047619,0.48809523809523814
43,30,BK,506.0,0.5770750988142292,0.42292490118577075
43,31,BK,504.0,0.7162698412698413,0.2837301587301587
43,32,BK,370.0,0.7513513513513513,0.24864864864864866
43,33,BK,507.0,0.7514792899408284,0.24852071005917165
43,34,BK,431.0,0.5707656612529002,0.4292343387470998
43,35,BK,423.0,0.5295508274231678,0.47044917257683216
43,36,BK,437.0,0.7597254004576659,0.2402745995423341
43,37,BK,617.0,0.8282009724473258,0.17179902755267418
43,38,BK,514.0,0.7821011673151751,0.2178988326848249
43,39,BK,439.0,0.662870159453303,0.33712984054669703
43,40,BK,438.0,0.682648401826484,0.317351598173516
43,41,BK,438.0,0.6506849315068494,0.34931506849315064
43,42,BK,432.0,0.7685185185185185,0.2314814814814815
43,43,BK,372.0,0.3682795698924731,0.6317204301075269
43,44,BK,323.0,0.26006191950464397,0.739938080495356
43,45,BK,291.0,0.23367697594501718,0.7663230240549828
43,46,BK,262.0,0.22900763358778625,0.7709923664122138
43,47,BK,301.0,0.2956810631229236,0.7043189368770764
43,48,BK,45.0,0.3111111111111111,0.6888888888888889
43,49,BK,178.0,0.2696629213483146,0.7303370786516854
43,50,BK,162.0,0.4074074074074074,0.5925925925925926
43,51,BK,185.0,0.31351351351351353,0.6864864864864865
43,52,BK,288.0,0.3298611111111111,0.6701388888888888
43,53,BK,507.0,0.7790927021696252,0.22090729783037477
43,54,BK,564.0,0.799645390070922,0.20035460992907805
43,55,BK,360.0,0.7166666666666667,0.2833333333333333
43,56,BK,517.0,0.7620889748549323,0.23791102514506768
43,57,BK,579.0,0.7512953367875648,0.24870466321243523
43,58,BK,455.0,0.7362637362637363,0.2637362637362637
43,59,BK,533.0,0.774859287054409,0.22514071294559101
43,60,BK,423.0,0.7612293144208038,0.23877068557919623
43,61,BK,394.0,0.7081218274111675,0.29187817258883253
43,62,BK,258.0,0.5775193798449613,0.42248062015503873
43,63,BK,334.0,0.5479041916167665,0.4520958083832335
43,64,BK,460.0,0.6369565217391304,0.3630434782608696
43,65,BK,353.0,0.5835694050991501,0.4164305949008499
43,66,BK,406.0,0.6083743842364532,0.3916256157635468
43,67,BK,411.0,0.6399026763990268,0.36009732360097324
43,68,BK,120.0,0.4583333333333333,0.5416666666666667
44,1,BK,551.0,0.8856624319419237,0.11433756805807627
44,2,BK,509.0,0.7779960707269156,0.22200392927308443
44,3,BK,162.0,0.8024691358024691,0.19753086419753085
44,4,BK,457.0,0.8096280087527352,0.19037199124726478
44,5,BK,207.0,0.8454106280193237,0.15458937198067635
44,6,BK,524.0,0.8225190839694656,0.1774809160305344
44,7,BK,713.0,0.8064516129032258,0.19354838709677424
44,8,BK,610.0,0.8622950819672132,0.13770491803278684
44,9,BK,522.0,0.842911877394636,0.15708812260536398
44,10,BK,399.0,0.9097744360902256,0.09022556390977443
44,11,BK,1009.0,0.8790882061446977,0.12091179385530226
44,12,BK,491.0,0.8737270875763747,0.12627291242362526
44,13,BK,220.0,0.7090909090909091,0.2909090909090909
44,14,BK,465.0,0.8193548387096774,0.1806451612903226
44,15,BK,346.0,0.8034682080924855,0.19653179190751446
44,16,BK,480.0,0.7604166666666666,0.23958333333333337
44,17,BK,805.0,0.7987577639751553,0.2012422360248447
44,18,BK,556.0,0.8255395683453237,0.17446043165467628
44,19,BK,402.0,0.8084577114427861,0.1915422885572139
44,20,BK,309.0,0.7605177993527508,0.23948220064724923
44,21,BK,504.0,0.9087301587301587,0.09126984126984128
44,22,BK,501.0,0.8323353293413174,0.16766467065868262
44,23,BK,724.0,0.761049723756906,0.23895027624309395
44,24,BK,576.0,0.7013888888888888,0.29861111111111116
44,25,BK,734.0,0.7643051771117166,0.23569482288828336
44,26,BK,591.0,0.7884940778341794,0.21150592216582065
44,27,BK,645.0,0.7472868217054264,0.2527131782945736
44,28,BK,668.0,0.8173652694610778,0.1826347305389222
44,29,BK,735.0,0.782312925170068,0.217687074829932
44,30,BK,641.0,0.7628705148205929,0.23712948517940713
44,31,BK,751.0,0.7842876165113183,0.2157123834886817
44,32,BK,700.0,0.8214285714285714,0.1785714285714286
44,33,BK,700.0,0.7771428571428571,0.22285714285714286
44,34,BK,363.0,0.8457300275482094,0.15426997245179064
44,35,BK,439.0,0.8405466970387244,0.15945330296127558
44,36,BK,728.0,0.7884615384615384,0.21153846153846156
44,37,BK,691.0,0.76410998552822,0.23589001447178004
44,38,BK,694.0,0.7838616714697406,0.21613832853025938
44,39,BK,578.0,0.7941176470588235,0.20588235294117652
44,40,BK,406.0,0.7931034482758621,0.2068965517241379
44,41,BK,490.0,0.7795918367346939,0.2204081632653061
44,42,BK,153.0,0.4444444444444444,0.5555555555555556
44,43,BK,457.0,0.8205689277899344,0.1794310722100656
44,44,BK,256.0,0.83203125,0.16796875
44,45,BK,539.0,0.8014842300556586,0.1985157699443414
44,46,BK,586.0,0.8310580204778157,0.16894197952218426
44,47,BK,316.0,0.879746835443038,0.120253164556962
44,48,BK,337.0,0.6795252225519288,0.3204747774480712
44,49,BK,141.0,0.19148936170212766,0.8085106382978724
44,50,BK,127.0,0.12598425196850394,0.8740157480314961
44,51,BK,145.0,0.05517241379310345,0.9448275862068966
44,52,BK,39.0,0.5384615384615384,0.46153846153846156
44,53,BK,280.0,0.5178571428571429,0.4821428571428571
44,54,BK,514.0,0.830739299610895,0.169260700389105
44,55,BK,161.0,0.84472049689441,0.15527950310559002
44,56,BK,485.0,0.8474226804123711,0.15257731958762888
44,57,BK,372.0,0.6666666666666666,0.33333333333333337
44,58,BK,373.0,0.6729222520107239,0.32707774798927614
44,59,BK,439.0,0.785876993166287,0.214123006833713
44,60,BK,203.0,0.9064039408866995,0.09359605911330049
44,61,BK,443.0,0.8419864559819413,0.15801354401805867
44,62,BK,548.0,0.7445255474452555,0.25547445255474455
44,63,BK,502.0,0.8326693227091634,0.16733067729083662
44,64,BK,492.0,0.7764227642276422,0.22357723577235777
44,65,BK,462.0,0.7922077922077922,0.20779220779220775
44,66,BK,573.0,0.7068062827225131,0.2931937172774869
44,67,BK,297.0,0.6868686868686869,0.31313131313131315
44,68,BK,316.0,0.8291139240506329,0.1708860759493671
44,69,BK,365.0,0.7013698630136986,0.29863013698630136
44,70,BK,255.0,0.8588235294117647,0.14117647058823535
44,71,BK,268.0,0.8507462686567164,0.14925373134328357
44,72,BK,342.0,0.8011695906432749,0.19883040935672514
44,73,BK,164.0,0.8475609756097561,0.15243902439024393
44,74,BK,465.0,0.7849462365591398,0.21505376344086025
44,75,BK,223.0,0.8834080717488789,0.11659192825112108
44,76,BK,241.0,0.8755186721991701,0.12448132780082988
44,77,BK,129.0,0.8527131782945736,0.1472868217054264
44,78,BK,261.0,0.8659003831417624,0.13409961685823757
44,79,BK,544.0,0.8602941176470589,0.13970588235294112
44,80,BK,329.0,0.756838905775076,0.24316109422492405
44,81,BK,463.0,0.7688984881209503,0.2311015118790497
44,82,BK,0.0,0.0,0.0
44,83,BK,0.0,0.0,0.0
44,84,BK,0.0,0.0,0.0
45,1,BK,283.0,0.19081272084805653,0.8091872791519434
45,2,BK,362.0,0.16022099447513813,0.8397790055248618
45,3,BK,294.0,0.23469387755102042,0.7653061224489796
45,4,BK,191.0,0.4397905759162304,0.5602094240837696
45,5,BK,208.0,0.39903846153846156,0.6009615384615384
45,6,BK,187.0,0.36363636363636365,0.6363636363636364
45,7,BK,250.0,0.108,0.892
