borough,AD,ED,regs_total_2025,reg_dem,reg_rep,reg_oth
BK,41,001,1144,632,200,312
BK,41,002,1144,632,200,312
BK,41,003,1144,632,200,312
BK,41,004,1144,632,200,312
BK,41,005,1144,632,200,312
BK,41,006,1144,632,200,312
BK,41,007,1144,632,200,312
BK,41,008,1144,632,200,312
BK,41,009,1144,632,200,312
BK,41,010,1144,632,200,312
BK,41,011,1144,632,200,312
BK,41,012,1144,632,200,312
BK,41,013,1144,632,200,312
BK,41,014,1144,632,200,312
BK,41,015,1144,632,200,312
BK,41,016,1144,632,200,312
BK,41,017,1144,632,200,312
BK,41,018,1144,632,200,312
BK,41,019,1144,632,200,312
BK,41,020,1143,631,200,312
BK,41,021,1143,631,200,312
BK,41,022,1143,631,200,312
BK,41,023,1143,631,200,312
BK,41,024,1143,631,200,312
BK,41,025,1142,631,200,311
BK,41,026,1142,631,200,311
BK,41,027,1142,631,200,311
BK,41,028,1142,631,200,311
BK,41,029,1142,631,200,311
BK,41,030,1142,631,200,311
BK,41,031,1142,631,200,311
BK,41,032,1142,631,200,311
BK,41,033,1142,631,200,311
BK,41,034,1142,631,200,311
BK,41,035,1142,631,200,311
BK,41,036,1142,631,200,311
BK,41,037,1142,631,200,311
BK,41,038,1142,631,200,311
BK,41,039,1142,631,200,311
BK,41,040,1142,631,200,311
BK,41,041,1142,631,200,311
BK,41,042,1142,631,200,311
BK,41,043,1142,631,200,311
BK,41,044,1142,631,200,311
BK,41,045,1142,631,200,311
BK,41,046,1142,631,200,311
BK,41,047,1142,631,200,311
BK,41,048,1142,631,200,311
BK,41,049,1142,631,200,311
BK,41,050,1142,631,200,311
BK,41,051,1142,631,200,311
BK,41,052,1141,631,199,311
BK,41,053,1140,631,199,310
BK,41,054,1140,631,199,310
BK,41,055,1140,631,199,310
BK,41,056,1138,631,199,308
BK,41,057,1138,631,199,308
BK,41,058,1138,631,199,308
BK,41,059,1138,631,199,308
BK,41,060,1138,631,199,308
BK,41,061,1138,631,199,308
BK,41,062,1138,631,199,308
BK,41,063,1138,631,199,308
BK,41,064,1138,631,199,308
BK,41,065,1138,631,199,308
BK,41,066,1138,631,199,308
BK,41,067,1138,631,199,308
BK,41,068,1138,631,199,308
BK,41,069,1138,631,199,308
BK,41,070,1138,631,199,308
BK,41,071,1138,631,199,308
BK,42,001,1381,1051,71,259
BK,42,002,1380,1051,71,258
BK,42,003,1380,1051,71,258
BK,42,004,1380,1051,71,258
BK,42,005,1380,1051,71,258
BK,42,006,1380,1051,71,258
BK,42,007,1380,1051,71,258
BK,42,008,1380,1051,71,258
BK,42,009,1380,1051,71,258
BK,42,010,1380,1051,71,258
BK,42,011,1380,1051,71,258
BK,42,012,1380,1051,71,258
BK,42,013,1380,1051,71,258
BK,42,014,1379,1051,71,257
BK,42,015,1379,1051,71,257
BK,42,016,1379,1051,71,257
BK,42,017,1379,1051,71,257
BK,42,018,1379,1051,71,257
